Выбранная строка,Т/плана предупр.ТОРО,ПозПредупредТОРО,ПланПредупрТОРО,strategy,Планирующий завод,Позиция предупред. ТОРО - описание,Группа плановиков,Единица оборудования,Название технического объекта,Вид работы ТОРО,Вид заказа,Тип техкарты,СчетГруппТехкарт,Группа,Название технического места,Техническое место,strategy_str,updated-counter
,PM,151563,100000054651,2-0512,1100,Замена двигателя,100,100000026791,Бульдозер D63E-12 №3306,ЗМН,APP1,A,ЗД,A0003668,Бульдозер гусеничный №3306,11-RUD-CGTR-SETT-UCTT-BZ32,2-0512_str,ЗД
,PM,151564,100000054652,2-0521,1100,ТР бортовых редукторов,100,100000026791,Бульдозер D63E-12 №3306,ТР,APP1,A,65,A0003668,Бульдозер гусеничный №3306,11-RUD-CGTR-SETT-UCTT-BZ32,2-0521_str,65
,PM,151565,100000054652,2-0521,1100,КР бортовых редукторов,100,100000026791,Бульдозер D63E-12 №3306,КР,APP1,A,2,A0003668,Бульдозер гусеничный №3306,11-RUD-CGTR-SETT-UCTT-BZ32,2-0521_str,2
,PM,151566,100000054652,2-0521,1100,Замена бортовых редукторов,100,100000026791,Бульдозер D63E-12 №3306,ЗМН,APP1,A,ЗБ,A0003668,Бульдозер гусеничный №3306,11-RUD-CGTR-SETT-UCTT-BZ32,2-0521_str,ЗБ
,PM,151567,100000054653,2-0525,1100,ТР ходовой части,100,100000026791,Бульдозер D63E-12 №3306,ТР,APP1,A,85,A0003668,Бульдозер гусеничный №3306,11-RUD-CGTR-SETT-UCTT-BZ32,2-0525_str,85
,PM,151568,100000054653,2-0525,1100,КР ходовой части,100,100000026791,Бульдозер D63E-12 №3306,КР,APP1,A,34,A0003668,Бульдозер гусеничный №3306,11-RUD-CGTR-SETT-UCTT-BZ32,2-0525_str,34
,PM,151569,100000054654,2-0526,1100,ТР навесного оборудования,100,100000026791,Бульдозер D63E-12 №3306,ТР,APP1,A,77,A0003668,Бульдозер гусеничный №3306,11-RUD-CGTR-SETT-UCTT-BZ32,2-0526_str,77
,PM,151570,100000054654,2-0526,1100,Замена навесного оборудования,100,100000026791,Бульдозер D63E-12 №3306,ЗМН,APP1,A,ЗА,A0003668,Бульдозер гусеничный №3306,11-RUD-CGTR-SETT-UCTT-BZ32,2-0526_str,ЗА
,PM,151571,100000054655,2-0528,1100,ТР коробки передач,100,100000026791,Бульдозер D63E-12 №3306,ТР,APP1,A,ТК,A0003668,Бульдозер гусеничный №3306,11-RUD-CGTR-SETT-UCTT-BZ32,2-0528_str,ТК
,PM,151572,100000054655,2-0528,1100,Замена коробки передач,100,100000026791,Бульдозер D63E-12 №3306,ЗМН,APP1,A,ЗК,A0003668,Бульдозер гусеничный №3306,11-RUD-CGTR-SETT-UCTT-BZ32,2-0528_str,ЗК
,PM,151573,100000054656,2-0529,1100,КР гидротрансформатора,100,100000026791,Бульдозер D63E-12 №3306,КР,APP1,A,8,A0003668,Бульдозер гусеничный №3306,11-RUD-CGTR-SETT-UCTT-BZ32,2-0529_str,8
,PM,151574,100000054656,2-0529,1100,Замена гидротрансформатора,100,100000026791,Бульдозер D63E-12 №3306,ЗМН,APP1,A,ЗГ,A0003668,Бульдозер гусеничный №3306,11-RUD-CGTR-SETT-UCTT-BZ32,2-0529_str,ЗГ
,PM,151575,100000054657,2-0386,1100,Техническое обслуживание 1,100,100000026792,Бульдозер D63E-12 №3307,ТО1,APP1,A,О1,A0003668,Бульдозер гусеничный №3307,11-RUD-CGTR-SETT-UCTT-BZ33,2-0386_str,О1
,PM,151576,100000054657,2-0386,1100,Техническое обслуживание 2,100,100000026792,Бульдозер D63E-12 №3307,ТО2,APP1,A,О2,A0003668,Бульдозер гусеничный №3307,11-RUD-CGTR-SETT-UCTT-BZ33,2-0386_str,О2
,PM,151577,100000054657,2-0386,1100,Техническое обслуживание 3,100,100000026792,Бульдозер D63E-12 №3307,ТО3,APP1,A,О3,A0003668,Бульдозер гусеничный №3307,11-RUD-CGTR-SETT-UCTT-BZ33,2-0386_str,О3
,PM,151578,100000054658,2-0483,1100,ТР гидравлического обор.,100,100000026792,Бульдозер D63E-12 №3307,ТР,APP1,A,68,A0003668,Бульдозер гусеничный №3307,11-RUD-CGTR-SETT-UCTT-BZ33,2-0483_str,68
,PM,151579,100000054658,2-0483,1100,КР гидравлического обор.,100,100000026792,Бульдозер D63E-12 №3307,КР,APP1,A,5,A0003668,Бульдозер гусеничный №3307,11-RUD-CGTR-SETT-UCTT-BZ33,2-0483_str,5
,PM,151580,100000054659,2-0486,1100,ТР электрооборудования,100,100000026792,Бульдозер D63E-12 №3307,ТР,APP1,A,87,A0003668,Бульдозер гусеничный №3307,11-RUD-CGTR-SETT-UCTT-BZ33,2-0486_str,87
,PM,151581,100000054659,2-0486,1100,КР электрооборудования,100,100000026792,Бульдозер D63E-12 №3307,КР,APP1,A,36,A0003668,Бульдозер гусеничный №3307,11-RUD-CGTR-SETT-UCTT-BZ33,2-0486_str,36
,PM,151582,100000054660,2-0512,1100,ТР двигателя,100,100000026792,Бульдозер D63E-12 №3307,ТР,APP1,A,70,A0003668,Бульдозер гусеничный №3307,11-RUD-CGTR-SETT-UCTT-BZ33,2-0512_str,70
,PM,151583,100000054660,2-0512,1100,Замена двигателя,100,100000026792,Бульдозер D63E-12 №3307,ЗМН,APP1,A,ЗД,A0003668,Бульдозер гусеничный №3307,11-RUD-CGTR-SETT-UCTT-BZ33,2-0512_str,ЗД
,PM,151584,100000054661,2-0521,1100,ТР бортовых редукторов,100,100000026792,Бульдозер D63E-12 №3307,ТР,APP1,A,65,A0003668,Бульдозер гусеничный №3307,11-RUD-CGTR-SETT-UCTT-BZ33,2-0521_str,65
,PM,151585,100000054661,2-0521,1100,КР бортовых редукторов,100,100000026792,Бульдозер D63E-12 №3307,КР,APP1,A,2,A0003668,Бульдозер гусеничный №3307,11-RUD-CGTR-SETT-UCTT-BZ33,2-0521_str,2
,PM,151586,100000054661,2-0521,1100,Замена бортовых редукторов,100,100000026792,Бульдозер D63E-12 №3307,ЗМН,APP1,A,ЗБ,A0003668,Бульдозер гусеничный №3307,11-RUD-CGTR-SETT-UCTT-BZ33,2-0521_str,ЗБ
,PM,151587,100000054662,2-0525,1100,ТР ходовой части,100,100000026792,Бульдозер D63E-12 №3307,ТР,APP1,A,85,A0003668,Бульдозер гусеничный №3307,11-RUD-CGTR-SETT-UCTT-BZ33,2-0525_str,85
,PM,151588,100000054662,2-0525,1100,КР ходовой части,100,100000026792,Бульдозер D63E-12 №3307,КР,APP1,A,34,A0003668,Бульдозер гусеничный №3307,11-RUD-CGTR-SETT-UCTT-BZ33,2-0525_str,34
,PM,151589,100000054663,2-0526,1100,ТР навесного оборудования,100,100000026792,Бульдозер D63E-12 №3307,ТР,APP1,A,77,A0003668,Бульдозер гусеничный №3307,11-RUD-CGTR-SETT-UCTT-BZ33,2-0526_str,77
,PM,151590,100000054663,2-0526,1100,Замена навесного оборудования,100,100000026792,Бульдозер D63E-12 №3307,ЗМН,APP1,A,ЗА,A0003668,Бульдозер гусеничный №3307,11-RUD-CGTR-SETT-UCTT-BZ33,2-0526_str,ЗА
,PM,151591,100000054664,2-0528,1100,ТР коробки передач,100,100000026792,Бульдозер D63E-12 №3307,ТР,APP1,A,ТК,A0003668,Бульдозер гусеничный №3307,11-RUD-CGTR-SETT-UCTT-BZ33,2-0528_str,ТК
,PM,151592,100000054664,2-0528,1100,Замена коробки передач,100,100000026792,Бульдозер D63E-12 №3307,ЗМН,APP1,A,ЗК,A0003668,Бульдозер гусеничный №3307,11-RUD-CGTR-SETT-UCTT-BZ33,2-0528_str,ЗК
,PM,151593,100000054665,2-0529,1100,КР гидротрансформатора,100,100000026792,Бульдозер D63E-12 №3307,КР,APP1,A,8,A0003668,Бульдозер гусеничный №3307,11-RUD-CGTR-SETT-UCTT-BZ33,2-0529_str,8
,PM,151594,100000054665,2-0529,1100,Замена гидротрансформатора,100,100000026792,Бульдозер D63E-12 №3307,ЗМН,APP1,A,ЗГ,A0003668,Бульдозер гусеничный №3307,11-RUD-CGTR-SETT-UCTT-BZ33,2-0529_str,ЗГ
,PM,151595,100000054666,2-0386,1100,Техническое обслуживание 1,100,100000026793,Бульдозер Т-11.01Я1МБР-3 №3401,ТО1,APP1,A,О1,A0004094,Бульдозер гусеничный №3401,11-RUD-CGTR-SETT-UDOT-BZ11,2-0386_str,О1
,PM,151596,100000054666,2-0386,1100,Техническое обслуживание 2,100,100000026793,Бульдозер Т-11.01Я1МБР-3 №3401,ТО2,APP1,,,,Бульдозер гусеничный №3401,11-RUD-CGTR-SETT-UDOT-BZ11,2-0386_str,nan
,PM,151597,100000054666,2-0386,1100,Техническое обслуживание 3,100,100000026793,Бульдозер Т-11.01Я1МБР-3 №3401,ТО3,APP1,A,О3,A0004094,Бульдозер гусеничный №3401,11-RUD-CGTR-SETT-UDOT-BZ11,2-0386_str,О3
,PM,151598,100000054667,2-0441,1100,ТР ходовой части,100,100000026793,Бульдозер Т-11.01Я1МБР-3 №3401,ТР,APP1,A,85,A0004094,Бульдозер гусеничный №3401,11-RUD-CGTR-SETT-UDOT-BZ11,2-0441_str,85
,PM,151599,100000054667,2-0441,1100,КР ходовой части,100,100000026793,Бульдозер Т-11.01Я1МБР-3 №3401,КР,APP1,,,,Бульдозер гусеничный №3401,11-RUD-CGTR-SETT-UDOT-BZ11,2-0441_str,nan
,PM,151600,100000054668,2-0442,1100,ТР двигателя,100,100000026793,Бульдозер Т-11.01Я1МБР-3 №3401,ТР,APP1,A,70,A0004094,Бульдозер гусеничный №3401,11-RUD-CGTR-SETT-UDOT-BZ11,2-0442_str,70
,PM,151601,100000054668,2-0442,1100,Замена двигателя,100,100000026793,Бульдозер Т-11.01Я1МБР-3 №3401,ЗМН,APP1,,,,Бульдозер гусеничный №3401,11-RUD-CGTR-SETT-UDOT-BZ11,2-0442_str,nan
,PM,151602,100000054669,2-0443,1100,ТР трансмиссии,100,100000026793,Бульдозер Т-11.01Я1МБР-3 №3401,ТР,APP1,A,82,A0004094,Бульдозер гусеничный №3401,11-RUD-CGTR-SETT-UDOT-BZ11,2-0443_str,82
,PM,151603,100000054669,2-0443,1100,Замена трансмиссии,100,100000026793,Бульдозер Т-11.01Я1МБР-3 №3401,ЗМН,APP1,,,,Бульдозер гусеничный №3401,11-RUD-CGTR-SETT-UDOT-BZ11,2-0443_str,nan
,PM,151604,100000054670,2-0444,1100,ТР гидравлического обор.,100,100000026793,Бульдозер Т-11.01Я1МБР-3 №3401,ТР,APP1,A,68,A0004094,Бульдозер гусеничный №3401,11-RUD-CGTR-SETT-UDOT-BZ11,2-0444_str,68
,PM,151605,100000054670,2-0444,1100,КР гидравлического обор.,100,100000026793,Бульдозер Т-11.01Я1МБР-3 №3401,КР,APP1,,,,Бульдозер гусеничный №3401,11-RUD-CGTR-SETT-UDOT-BZ11,2-0444_str,nan
,PM,151606,100000054671,2-0445,1100,ТР навесного оборудования,100,100000026793,Бульдозер Т-11.01Я1МБР-3 №3401,ТР,APP1,A,77,A0004094,Бульдозер гусеничный №3401,11-RUD-CGTR-SETT-UDOT-BZ11,2-0445_str,77
,PM,151607,100000054671,2-0445,1100,Замена навесного оборудования,100,100000026793,Бульдозер Т-11.01Я1МБР-3 №3401,ЗМН,APP1,,,,Бульдозер гусеничный №3401,11-RUD-CGTR-SETT-UDOT-BZ11,2-0445_str,nan
,PM,151608,100000054672,2-0446,1100,ТР доп. электрооборудования,100,100000026793,Бульдозер Т-11.01Я1МБР-3 №3401,ТР,APP1,,,,Бульдозер гусеничный №3401,11-RUD-CGTR-SETT-UDOT-BZ11,2-0446_str,nan
,PM,151609,100000054672,2-0446,1100,КР электрооборудования,100,100000026793,Бульдозер Т-11.01Я1МБР-3 №3401,КР,APP1,,,,Бульдозер гусеничный №3401,11-RUD-CGTR-SETT-UDOT-BZ11,2-0446_str,nan
,PM,151610,100000054673,2-0447,1100,ТР бортовых редукторов,100,100000026793,Бульдозер Т-11.01Я1МБР-3 №3401,ТР,APP1,A,65,A0004094,Бульдозер гусеничный №3401,11-RUD-CGTR-SETT-UDOT-BZ11,2-0447_str,65
,PM,151611,100000054673,2-0447,1100,КР бортовых редукторов,100,100000026793,Бульдозер Т-11.01Я1МБР-3 №3401,КР,APP1,,,,Бульдозер гусеничный №3401,11-RUD-CGTR-SETT-UDOT-BZ11,2-0447_str,nan
,PM,151612,100000054674,2-0386,1100,Техническое обслуживание 1,100,100000026794,Экскаватор гидравл. ЕК 270LC №3608,ТО1,APP1,A,О1,A0004003,Экскаватор гидравлический №3608,11-RUD-CGTR-SETT-UCTT-EX08,2-0386_str,О1
,PM,151613,100000054674,2-0386,1100,Техническое обслуживание 2,100,100000026794,Экскаватор гидравл. ЕК 270LC №3608,ТО2,APP1,A,О2,A0004003,Экскаватор гидравлический №3608,11-RUD-CGTR-SETT-UCTT-EX08,2-0386_str,О2
,PM,151614,100000054674,2-0386,1100,Техническое обслуживание 3,100,100000026794,Экскаватор гидравл. ЕК 270LC №3608,ТО3,APP1,A,О3,A0004003,Экскаватор гидравлический №3608,11-RUD-CGTR-SETT-UCTT-EX08,2-0386_str,О3
,PM,151615,100000054675,2-0493,1100,КР ходовой части,100,100000026794,Экскаватор гидравл. ЕК 270LC №3608,КР,APP1,A,34,A0004003,Экскаватор гидравлический №3608,11-RUD-CGTR-SETT-UCTT-EX08,2-0493_str,34
,PM,151616,100000054676,2-0503,1100,КР навесного оборудования,100,100000026794,Экскаватор гидравл. ЕК 270LC №3608,КР,APP1,A,27,A0004003,Экскаватор гидравлический №3608,11-RUD-CGTR-SETT-UCTT-EX08,2-0503_str,27
,PM,151617,100000054677,2-0504,1100,КР гидравлического обор.,100,100000026794,Экскаватор гидравл. ЕК 270LC №3608,КР,APP1,A,5,A0004003,Экскаватор гидравлический №3608,11-RUD-CGTR-SETT-UCTT-EX08,2-0504_str,5
,PM,151618,100000054678,2-0565,1100,КР электрооборудования,100,100000026794,Экскаватор гидравл. ЕК 270LC №3608,КР,APP1,A,36,A0004003,Экскаватор гидравлический №3608,11-RUD-CGTR-SETT-UCTT-EX08,2-0565_str,36
,PM,151619,100000054679,2-0572,1100,Замена двигателя,100,100000026794,Экскаватор гидравл. ЕК 270LC №3608,ЗМН,APP1,A,ЗД,A0004003,Экскаватор гидравлический №3608,11-RUD-CGTR-SETT-UCTT-EX08,2-0572_str,ЗД
,PM,151620,100000054680,2-0656,1100,КР коробки передач,100,100000026794,Экскаватор гидравл. ЕК 270LC №3608,КР,APP1,A,24,A0004003,Экскаватор гидравлический №3608,11-RUD-CGTR-SETT-UCTT-EX08,2-0656_str,24
,PM,151621,100000054680,2-0656,1100,Замена коробки передач,100,100000026794,Экскаватор гидравл. ЕК 270LC №3608,ЗМН,APP1,A,ЗК,A0004003,Экскаватор гидравлический №3608,11-RUD-CGTR-SETT-UCTT-EX08,2-0656_str,ЗК
,PM,151622,100000054681,2-0386,1100,Техническое обслуживание 1,100,100000026796,Экскаватор-погрузчик TLB 825 №3611,ТО1,APP1,A,О1,A0004004,Экскаватор-погрузчик №3611,11-RUD-CGTR-SETT-UDOT-EX01,2-0386_str,О1
,PM,151623,100000054681,2-0386,1100,Техническое обслуживание 2,100,100000026796,Экскаватор-погрузчик TLB 825 №3611,ТО2,APP1,A,О2,A0004004,Экскаватор-погрузчик №3611,11-RUD-CGTR-SETT-UDOT-EX01,2-0386_str,О2
,PM,151624,100000054681,2-0386,1100,Техническое обслуживание 3,100,100000026796,Экскаватор-погрузчик TLB 825 №3611,ТО3,APP1,A,О3,A0004004,Экскаватор-погрузчик №3611,11-RUD-CGTR-SETT-UDOT-EX01,2-0386_str,О3
,PM,151625,100000054682,2-0480,1100,ТР двигателя,100,100000026796,Экскаватор-погрузчик TLB 825 №3611,ТР,APP1,A,70,A0004004,Экскаватор-погрузчик №3611,11-RUD-CGTR-SETT-UDOT-EX01,2-0480_str,70
,PM,151626,100000054682,2-0480,1100,Замена двигателя,100,100000026796,Экскаватор-погрузчик TLB 825 №3611,ЗМН,APP1,A,ЗД,A0004004,Экскаватор-погрузчик №3611,11-RUD-CGTR-SETT-UDOT-EX01,2-0480_str,ЗД
,PM,151627,100000054683,2-0502,1100,ТР электрооборудования,100,100000026796,Экскаватор-погрузчик TLB 825 №3611,ТР,APP1,A,87,A0004004,Экскаватор-погрузчик №3611,11-RUD-CGTR-SETT-UDOT-EX01,2-0502_str,87
,PM,151628,100000054683,2-0502,1100,КР электрооборудования,100,100000026796,Экскаватор-погрузчик TLB 825 №3611,КР,APP1,A,36,A0004004,Экскаватор-погрузчик №3611,11-RUD-CGTR-SETT-UDOT-EX01,2-0502_str,36
,PM,151629,100000054684,2-0504,1100,ТР гидравлического обор.,100,100000026796,Экскаватор-погрузчик TLB 825 №3611,ТР,APP1,A,68,A0004004,Экскаватор-погрузчик №3611,11-RUD-CGTR-SETT-UDOT-EX01,2-0504_str,68
,PM,151630,100000054684,2-0504,1100,КР гидравлического обор.,100,100000026796,Экскаватор-погрузчик TLB 825 №3611,КР,APP1,A,5,A0004004,Экскаватор-погрузчик №3611,11-RUD-CGTR-SETT-UDOT-EX01,2-0504_str,5
,PM,151631,100000054685,2-0513,1100,ТР навесного оборудования,100,100000026796,Экскаватор-погрузчик TLB 825 №3611,ТР,APP1,A,77,A0004004,Экскаватор-погрузчик №3611,11-RUD-CGTR-SETT-UDOT-EX01,2-0513_str,77
,PM,151632,100000054685,2-0513,1100,КР навесного оборудования,100,100000026796,Экскаватор-погрузчик TLB 825 №3611,КР,APP1,A,27,A0004004,Экскаватор-погрузчик №3611,11-RUD-CGTR-SETT-UDOT-EX01,2-0513_str,27
,PM,151633,100000054686,2-0514,1100,ТР коробки передач,100,100000026796,Экскаватор-погрузчик TLB 825 №3611,ТР,APP1,A,ТК,A0004004,Экскаватор-погрузчик №3611,11-RUD-CGTR-SETT-UDOT-EX01,2-0514_str,ТК
,PM,151634,100000054686,2-0514,1100,Замена коробки передач,100,100000026796,Экскаватор-погрузчик TLB 825 №3611,ЗМН,APP1,A,ЗК,A0004004,Экскаватор-погрузчик №3611,11-RUD-CGTR-SETT-UDOT-EX01,2-0514_str,ЗК
,PM,151635,100000054687,2-0515,1100,ТР ходовой части,100,100000026796,Экскаватор-погрузчик TLB 825 №3611,ТР,APP1,A,85,A0004004,Экскаватор-погрузчик №3611,11-RUD-CGTR-SETT-UDOT-EX01,2-0515_str,85
,PM,151636,100000054687,2-0515,1100,КР ходовой части,100,100000026796,Экскаватор-погрузчик TLB 825 №3611,КР,APP1,A,34,A0004004,Экскаватор-погрузчик №3611,11-RUD-CGTR-SETT-UDOT-EX01,2-0515_str,34
,PM,151637,100000054688,2-0386,1100,Техническое обслуживание 2,100,100000026797,Бульдозер К-703МА-ДМ-15 №3809,ТО2,APP1,A,О2,A0004087,Бульдозер колесный №3809,11-RUD-CGTR-SETT-UDOT-BZ13,2-0386_str,О2
,PM,151638,100000054688,2-0386,1100,Техническое обслуживание 3,100,100000026797,Бульдозер К-703МА-ДМ-15 №3809,ТО3,APP1,A,О3,A0004087,Бульдозер колесный №3809,11-RUD-CGTR-SETT-UDOT-BZ13,2-0386_str,О3
,PM,151639,100000054688,2-0386,1100,Техническое обслуживание 1,100,100000026797,Бульдозер К-703МА-ДМ-15 №3809,ТО1,APP1,A,О1,A0004087,Бульдозер колесный №3809,11-RUD-CGTR-SETT-UDOT-BZ13,2-0386_str,О1
,PM,151640,100000054689,2-0495,1100,КР гидравлического обор.,100,100000026797,Бульдозер К-703МА-ДМ-15 №3809,КР,APP1,A,5,A0004087,Бульдозер колесный №3809,11-RUD-CGTR-SETT-UDOT-BZ13,2-0495_str,5
,PM,151641,100000054690,2-0497,1100,КР ходовой части,100,100000026797,Бульдозер К-703МА-ДМ-15 №3809,КР,APP1,A,34,A0004087,Бульдозер колесный №3809,11-RUD-CGTR-SETT-UDOT-BZ13,2-0497_str,34
,PM,151642,100000054691,2-0545,1100,Замена навесного оборудования,100,100000026797,Бульдозер К-703МА-ДМ-15 №3809,ЗМН,APP1,A,ЗА,A0004087,Бульдозер колесный №3809,11-RUD-CGTR-SETT-UDOT-BZ13,2-0545_str,ЗА
,PM,151643,100000054692,2-0563,1100,КР электрооборудования,100,100000026797,Бульдозер К-703МА-ДМ-15 №3809,КР,APP1,A,36,A0004087,Бульдозер колесный №3809,11-RUD-CGTR-SETT-UDOT-BZ13,2-0563_str,36
,PM,151644,100000054693,2-0386,1100,Техническое обслуживание 1,100,100000026798,Автогрейдер ДЗ-98В.61100-010 №3707,ТО1,APP1,A,О1,A0004098,Автогрейдер №3707,11-RUD-CGTR-SETT-UDOT-OS08,2-0386_str,О1
,PM,151645,100000054693,2-0386,1100,Техническое обслуживание 2,100,100000026798,Автогрейдер ДЗ-98В.61100-010 №3707,ТО2,APP1,A,О2,A0004098,Автогрейдер №3707,11-RUD-CGTR-SETT-UDOT-OS08,2-0386_str,О2
,PM,151646,100000054693,2-0386,1100,Техническое обслуживание 3,100,100000026798,Автогрейдер ДЗ-98В.61100-010 №3707,ТО3,APP1,A,О3,A0004098,Автогрейдер №3707,11-RUD-CGTR-SETT-UDOT-OS08,2-0386_str,О3
,PM,151647,100000054694,2-0494,1100,КР электрооборудования,100,100000026798,Автогрейдер ДЗ-98В.61100-010 №3707,КР,APP1,A,36,A0004098,Автогрейдер №3707,11-RUD-CGTR-SETT-UDOT-OS08,2-0494_str,36
,PM,151648,100000054695,2-0530,1100,КР ходовой части,100,100000026798,Автогрейдер ДЗ-98В.61100-010 №3707,КР,APP1,A,34,A0004098,Автогрейдер №3707,11-RUD-CGTR-SETT-UDOT-OS08,2-0530_str,34
,PM,151649,100000054696,2-0536,1100,КР навесного оборудования,100,100000026798,Автогрейдер ДЗ-98В.61100-010 №3707,КР,APP1,A,27,A0004098,Автогрейдер №3707,11-RUD-CGTR-SETT-UDOT-OS08,2-0536_str,27
,PM,151650,100000054697,2-0537,1100,КР гидравлического обор.,100,100000026798,Автогрейдер ДЗ-98В.61100-010 №3707,КР,APP1,A,5,A0004098,Автогрейдер №3707,11-RUD-CGTR-SETT-UDOT-OS08,2-0537_str,5
,PM,151651,100000054698,2-0538,1100,Замена двигателя,100,100000026798,Автогрейдер ДЗ-98В.61100-010 №3707,ЗМН,APP1,A,ЗД,A0004098,Автогрейдер №3707,11-RUD-CGTR-SETT-UDOT-OS08,2-0538_str,ЗД
,PM,151652,100000054698,2-0538,1100,Замена коробки передач,100,100000026798,Автогрейдер ДЗ-98В.61100-010 №3707,ЗМН,APP1,A,ЗК,A0004098,Автогрейдер №3707,11-RUD-CGTR-SETT-UDOT-OS08,2-0538_str,ЗК
,PM,151653,100000054699,2-0370,1100,Замена двигателя,100,100000026804,Самосвал карьерный 793D №736,ЗМН,APP1,A,ЗД,A0003596,Самосвал карьерный №736,11-RUD-CGTR-SEBT-CD35,2-0370_str,ЗД
,PM,151654,100000054700,2-0387,1100,Техническое обслуживание 1,100,100000026804,Самосвал карьерный 793D №736,ТО1,APP1,A,О1,A0003596,Самосвал карьерный №736,11-RUD-CGTR-SEBT-CD35,2-0387_str,О1
,PM,151655,100000054700,2-0387,1100,Техническое обслуживание 2,100,100000026804,Самосвал карьерный 793D №736,ТО2,APP1,A,О2,A0003596,Самосвал карьерный №736,11-RUD-CGTR-SEBT-CD35,2-0387_str,О2
,PM,151656,100000054700,2-0387,1100,Техническое обслуживание 3,100,100000026804,Самосвал карьерный 793D №736,ТО3,APP1,A,О3,A0003596,Самосвал карьерный №736,11-RUD-CGTR-SEBT-CD35,2-0387_str,О3
,PM,151657,100000054700,2-0387,1100,Техническое обслуживание 4,100,100000026804,Самосвал карьерный 793D №736,ТО4,APP1,A,О4,A0003596,Самосвал карьерный №736,11-RUD-CGTR-SEBT-CD35,2-0387_str,О4
,PM,151658,100000054700,2-0387,1100,Техническое обслуживание 5,100,100000026804,Самосвал карьерный 793D №736,ТО5,APP1,A,О5,A0003596,Самосвал карьерный №736,11-RUD-CGTR-SEBT-CD35,2-0387_str,О5
,PM,151659,100000054700,2-0387,1100,Техническое обслуживание 6,100,100000026804,Самосвал карьерный 793D №736,ТО6,APP1,A,О6,A0003596,Самосвал карьерный №736,11-RUD-CGTR-SEBT-CD35,2-0387_str,О6
,PM,151660,100000054701,2-0521,1100,Замена бортовых редукторов,100,100000026804,Самосвал карьерный 793D №736,ЗМН,APP1,A,ЗБ,A0003596,Самосвал карьерный №736,11-RUD-CGTR-SEBT-CD35,2-0521_str,ЗБ
,PM,151661,100000054702,2-0529,1100,Замена гидротрансформатора,100,100000026804,Самосвал карьерный 793D №736,ЗМН,APP1,A,ЗГ,A0003596,Самосвал карьерный №736,11-RUD-CGTR-SEBT-CD35,2-0529_str,ЗГ
,PM,151662,100000054703,2-0547,1100,Замена главной передачи,100,100000026804,Самосвал карьерный 793D №736,ЗМН,APP1,,,,Самосвал карьерный №736,11-RUD-CGTR-SEBT-CD35,2-0547_str,nan
,PM,151663,100000054703,2-0547,1100,КР главной передачи,100,100000026804,Самосвал карьерный 793D №736,КР,APP1,,,,Самосвал карьерный №736,11-RUD-CGTR-SEBT-CD35,2-0547_str,nan
,PM,151664,100000054704,2-0562,1100,Замена коробки передач,100,100000026804,Самосвал карьерный 793D №736,ЗМН,APP1,A,ЗК,A0003596,Самосвал карьерный №736,11-RUD-CGTR-SEBT-CD35,2-0562_str,ЗК
,PM,151665,100000054705,2-0569,1100,Замена кузова,100,100000026804,Самосвал карьерный 793D №736,ЗМН,APP1,A,ЗЗ,A0003596,Самосвал карьерный №736,11-RUD-CGTR-SEBT-CD35,2-0569_str,ЗЗ
,PM,151666,100000054706,2-0370,1100,Замена двигателя,100,100000026805,Самосвал карьерный 793D №737,ЗМН,APP1,A,ЗД,A0003596,Самосвал карьерный №737,11-RUD-CGTR-SEBT-CD36,2-0370_str,ЗД
,PM,151667,100000054707,2-0387,1100,Техническое обслуживание 1,100,100000026805,Самосвал карьерный 793D №737,ТО1,APP1,A,О1,A0003596,Самосвал карьерный №737,11-RUD-CGTR-SEBT-CD36,2-0387_str,О1
,PM,151668,100000054707,2-0387,1100,Техническое обслуживание 2,100,100000026805,Самосвал карьерный 793D №737,ТО2,APP1,A,О2,A0003596,Самосвал карьерный №737,11-RUD-CGTR-SEBT-CD36,2-0387_str,О2
,PM,151669,100000054707,2-0387,1100,Техническое обслуживание 3,100,100000026805,Самосвал карьерный 793D №737,ТО3,APP1,A,О3,A0003596,Самосвал карьерный №737,11-RUD-CGTR-SEBT-CD36,2-0387_str,О3
,PM,151670,100000054707,2-0387,1100,Техническое обслуживание 4,100,100000026805,Самосвал карьерный 793D №737,ТО4,APP1,A,О4,A0003596,Самосвал карьерный №737,11-RUD-CGTR-SEBT-CD36,2-0387_str,О4
,PM,151671,100000054707,2-0387,1100,Техническое обслуживание 5,100,100000026805,Самосвал карьерный 793D №737,ТО5,APP1,A,О5,A0003596,Самосвал карьерный №737,11-RUD-CGTR-SEBT-CD36,2-0387_str,О5
,PM,151672,100000054707,2-0387,1100,Техническое обслуживание 6,100,100000026805,Самосвал карьерный 793D №737,ТО6,APP1,A,О6,A0003596,Самосвал карьерный №737,11-RUD-CGTR-SEBT-CD36,2-0387_str,О6
,PM,151673,100000054708,2-0521,1100,Замена бортовых редукторов,100,100000026805,Самосвал карьерный 793D №737,ЗМН,APP1,A,ЗБ,A0003596,Самосвал карьерный №737,11-RUD-CGTR-SEBT-CD36,2-0521_str,ЗБ
,PM,151674,100000054709,2-0529,1100,Замена гидротрансформатора,100,100000026805,Самосвал карьерный 793D №737,ЗМН,APP1,A,ЗГ,A0003596,Самосвал карьерный №737,11-RUD-CGTR-SEBT-CD36,2-0529_str,ЗГ
