БЕ,класс ео,Модель оборудования,Наименование оборудования,strategy_str_counter,Группа,СчетГруппТехкарт,ПланПредупрТОРО,Позиция предупред. ТОРО - описание,Текст цикла ПредупрТОРО,gruppa_str_counter,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч"
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №764,1-2000_strЕО,6058,ЕО,300000002409,Ежесменное ТО смена 2,,6058_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №765,1-2000_strЕО,6059,ЕО,300000002410,Ежесменное ТО смена 1,,6059_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №765,1-2000_strЕО,6059,ЕО,300000002410,Ежесменное ТО смена 2,,6059_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №766,1-2000_strЕО,6060,ЕО,300000002411,Ежесменное ТО смена 1,,6060_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №766,1-2000_strЕО,6060,ЕО,300000002411,Ежесменное ТО смена 2,,6060_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №767,1-2000_strЕО,6061,ЕО,300000002412,Ежесменное ТО смена 1,,6061_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №767,1-2000_strЕО,6061,ЕО,300000002412,Ежесменное ТО смена 2,,6061_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №768,1-2000_strЕО,6062,ЕО,300000002413,Ежесменное ТО смена 1,,6062_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №768,1-2000_strЕО,6062,ЕО,300000002413,Ежесменное ТО смена 2,,6062_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №769,1-2000_strЕО,6075,ЕО,300000002414,Ежесменное ТО смена 1,,6075_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №769,1-2000_strЕО,6075,ЕО,300000002414,Ежесменное ТО смена 2,,6075_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №770,1-2000_strЕО,6064,ЕО,300000002415,Ежесменное ТО смена 1,,6064_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №770,1-2000_strЕО,6064,ЕО,300000002415,Ежесменное ТО смена 2,,6064_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №771,1-2000_strЕО,6065,ЕО,300000002416,Ежесменное ТО смена 1,,6065_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №771,1-2000_strЕО,6065,ЕО,300000002416,Ежесменное ТО смена 2,,6065_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №772,1-2000_strЕО,6066,ЕО,300000002417,Ежесменное ТО смена 1,,6066_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №772,1-2000_strЕО,6066,ЕО,300000002417,Ежесменное ТО смена 2,,6066_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №773,1-2000_strЕО,6067,ЕО,300000002418,Ежесменное ТО смена 1,,6067_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №773,1-2000_strЕО,6067,ЕО,300000002418,Ежесменное ТО смена 2,,6067_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №774,1-2000_strЕО,6068,ЕО,300000002419,Ежесменное ТО смена 1,,6068_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №774,1-2000_strЕО,6068,ЕО,300000002419,Ежесменное ТО смена 2,,6068_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №775,1-2000_strЕО,6081,ЕО,300000002420,Ежесменное ТО смена 1,,6081_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №775,1-2000_strЕО,6081,ЕО,300000002420,Ежесменное ТО смена 2,,6081_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №776,1-2000_strЕО,6070,ЕО,300000002421,Ежесменное ТО смена 1,,6070_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №776,1-2000_strЕО,6070,ЕО,300000002421,Ежесменное ТО смена 2,,6070_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №777,1-2000_strЕО,6071,ЕО,300000002422,Ежесменное ТО смена 1,,6071_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №777,1-2000_strЕО,6071,ЕО,300000002422,Ежесменное ТО смена 2,,6071_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №778,1-2000_strЕО,6072,ЕО,300000002423,Ежесменное ТО смена 1,,6072_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №778,1-2000_strЕО,6072,ЕО,300000002423,Ежесменное ТО смена 2,,6072_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №779,1-2000_strЕО,6073,ЕО,300000002424,Ежесменное ТО смена 1,,6073_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №779,1-2000_strЕО,6073,ЕО,300000002424,Ежесменное ТО смена 2,,6073_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №780,1-2000_strЕО,6074,ЕО,300000002425,Ежесменное ТО смена 1,,6074_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №780,1-2000_strЕО,6074,ЕО,300000002425,Ежесменное ТО смена 2,,6074_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №781,1-2000_strЕО,6087,ЕО,300000002426,Ежесменное ТО смена 1,,6087_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №781,1-2000_strЕО,6087,ЕО,300000002426,Ежесменное ТО смена 2,,6087_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №782,1-2000_strЕО,6076,ЕО,300000002427,Ежесменное ТО смена 1,,6076_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №782,1-2000_strЕО,6076,ЕО,300000002427,Ежесменное ТО смена 2,,6076_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №783,1-2000_strЕО,6077,ЕО,300000002428,Ежесменное ТО смена 1,,6077_strЕО,,
Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,Самосвал карьерный 793D №783,1-2000_strЕО,6077,ЕО,300000002428,Ежесменное ТО смена 2,,6077_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D155A-5,Бульдозер D155A-5 №3312,1-2000_strЕО,5729,ЕО,300000002437,Ежесменное ТО смена 1,,5729_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D155A-5,Бульдозер D155A-5 №3312,1-2000_strЕО,5729,ЕО,300000002437,Ежесменное ТО смена 2,,5729_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D155A-5,Бульдозер D155A-5 №3313,1-2000_strЕО,5730,ЕО,300000002438,Ежесменное ТО смена 1,,5730_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D155A-5,Бульдозер D155A-5 №3313,1-2000_strЕО,5730,ЕО,300000002438,Ежесменное ТО смена 2,,5730_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №3219,1-2000_strЕО,5731,ЕО,300000002439,Ежесменное ТО смена 1,,5731_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №3219,1-2000_strЕО,5731,ЕО,300000002439,Ежесменное ТО смена 2,,5731_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D475A-5,Бульдозер D475A-5 №3223,1-2000_strЕО,5728,ЕО,300000002440,Ежесменное ТО смена 1,,5728_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D475A-5,Бульдозер D475A-5 №3223,1-2000_strЕО,5728,ЕО,300000002440,Ежесменное ТО смена 2,,5728_strЕО,,
Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер WD600-7,Бульдозер WD600-6 №3220,1-2000_strЕО,6095,ЕО,300000002441,Ежесменное ТО смена 1,,6095_strЕО,,
Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер WD600-7,Бульдозер WD600-6 №3220,1-2000_strЕО,6095,ЕО,300000002441,Ежесменное ТО смена 2,,6095_strЕО,,
Олимпиадинский ГОК,Бульдозеры колесные,Специальн машина К-703МА,Специальн машина К-703МА-12-04 №3815,1-2000_strЕО,5723,ЕО,300000002443,Ежесменное ТО смена 1,,5723_strЕО,,
Олимпиадинский ГОК,Бульдозеры колесные,Специальн машина К-703МА,Специальн машина К-703МА-12-04 №3815,1-2000_strЕО,5723,ЕО,300000002443,Ежесменное ТО смена 2,,5723_strЕО,,
Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер К-702МБА,Бульдозер К-702МБА-01-БКУ №3811,1-2000_strЕО,5719,ЕО,300000002444,Ежесменное ТО смена 1,,5719_strЕО,,
Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер К-702МБА,Бульдозер К-702МБА-01-БКУ №3811,1-2000_strЕО,5719,ЕО,300000002444,Ежесменное ТО смена 2,,5719_strЕО,,
Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер К-702МБА,Бульдозер К-702МБА-01-БКУ №3813,1-2000_strЕО,5721,ЕО,300000002446,Ежесменное ТО смена 1,,5721_strЕО,,
Олимпиадинский ГОК,Бульдозеры колесные,Бульдозер К-702МБА,Бульдозер К-702МБА-01-БКУ №3813,1-2000_strЕО,5721,ЕО,300000002446,Ежесменное ТО смена 2,,5721_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA600-6,Погрузчик фронтальный WA600-6 №3507,1-2000_strЕО,5725,ЕО,300000002448,Ежесменное ТО смена 1,,5725_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA600-6,Погрузчик фронтальный WA600-6 №3507,1-2000_strЕО,5725,ЕО,300000002448,Ежесменное ТО смена 2,,5725_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA600-6,Погрузчик фронтальный WA600-6 №3513,1-2000_strЕО,5726,ЕО,300000002449,Ежесменное ТО смена 1,,5726_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA600-6,Погрузчик фронтальный WA600-6 №3513,1-2000_strЕО,5726,ЕО,300000002449,Ежесменное ТО смена 2,,5726_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA600-6,Погрузчик фронтальный WA600-6 №3514,1-2000_strЕО,5727,ЕО,300000002450,Ежесменное ТО смена 1,,5727_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA600-6,Погрузчик фронтальный WA600-6 №3514,1-2000_strЕО,5727,ЕО,300000002450,Ежесменное ТО смена 2,,5727_strЕО,,
Олимпиадинский ГОК,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Экскаватор гидравл. PC400-7 №3615,1-2000_strЕО,5737,ЕО,300000002451,Ежесменное ТО смена 1,,5737_strЕО,,
Олимпиадинский ГОК,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Экскаватор гидравл. PC400-7 №3615,1-2000_strЕО,5737,ЕО,300000002451,Ежесменное ТО смена 2,,5737_strЕО,,
Олимпиадинский ГОК,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Экскаватор гидравл. PC400-7 №3616,1-2000_strЕО,5738,ЕО,300000002452,Ежесменное ТО смена 1,,5738_strЕО,,
Олимпиадинский ГОК,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Экскаватор гидравл. PC400-7 №3616,1-2000_strЕО,5738,ЕО,300000002452,Ежесменное ТО смена 2,,5738_strЕО,,
Олимпиадинский ГОК,Автогрейдеры,Автогрейдер 160AWD,Автогрейдер 160AWD №3706,1-2000_strЕО,6035,ЕО,300000002453,Ежесменное ТО смена 1,,6035_strЕО,,
Олимпиадинский ГОК,Автогрейдеры,Автогрейдер 160AWD,Автогрейдер 160AWD №3706,1-2000_strЕО,6035,ЕО,300000002453,Ежесменное ТО смена 2,,6035_strЕО,,
Олимпиадинский ГОК,Автогрейдеры,Автогрейдер 160AWD,Автогрейдер 160AWD №3708,1-2000_strЕО,6036,ЕО,300000002454,Ежесменное ТО смена 1,,6036_strЕО,,
Олимпиадинский ГОК,Автогрейдеры,Автогрейдер 160AWD,Автогрейдер 160AWD №3708,1-2000_strЕО,6036,ЕО,300000002454,Ежесменное ТО смена 2,,6036_strЕО,,
Олимпиадинский ГОК,Автогрейдеры,Автогрейдер 160AWD,Автогрейдер 160AWD №3709,1-2000_strЕО,6037,ЕО,300000002455,Ежесменное ТО смена 1,,6037_strЕО,,
Олимпиадинский ГОК,Автогрейдеры,Автогрейдер 160AWD,Автогрейдер 160AWD №3709,1-2000_strЕО,6037,ЕО,300000002455,Ежесменное ТО смена 2,,6037_strЕО,,
Олимпиадинский ГОК,Автогрейдеры,Автогрейдер 24M,Автогрейдер 24M №3710,1-2000_strЕО,6038,ЕО,300000002456,Ежесменное ТО смена 1,,6038_strЕО,,
Олимпиадинский ГОК,Автогрейдеры,Автогрейдер 24M,Автогрейдер 24M №3710,1-2000_strЕО,6038,ЕО,300000002456,Ежесменное ТО смена 2,,6038_strЕО,,
Олимпиадинский ГОК,Экскаваторы гидравлические,Экскаватор гидравл. ЕК 270LC,Экскаватор гидравл. ЕК 270LC №3610,1-2000_strЕО,6096,ЕО,300000002463,Ежесменное ТО смена 1,,6096_strЕО,,
Олимпиадинский ГОК,Экскаваторы гидравлические,Экскаватор гидравл. ЕК 270LC,Экскаватор гидравл. ЕК 270LC №3610,1-2000_strЕО,6096,ЕО,300000002463,Ежесменное ТО смена 2,,6096_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D11R,Бульдозер D11R №125,1-2000_strЕО,5808,ЕО,300000002467,Ежесменное ТО смена 1,,5808_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D11R,Бульдозер D11R №125,1-2000_strЕО,5808,ЕО,300000002467,Ежесменное ТО смена 2,,5808_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №38,1-2000_strЕО,6027,ЕО,300000002468,Ежесменное ТО смена 1,,6027_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №38,1-2000_strЕО,6027,ЕО,300000002468,Ежесменное ТО смена 2,,6027_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №39,1-2000_strЕО,6028,ЕО,300000002469,Ежесменное ТО смена 1,,6028_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №39,1-2000_strЕО,6028,ЕО,300000002469,Ежесменное ТО смена 2,,6028_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №42,1-2000_strЕО,6029,ЕО,300000002470,Ежесменное ТО смена 1,,6029_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №42,1-2000_strЕО,6029,ЕО,300000002470,Ежесменное ТО смена 2,,6029_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №43,1-2000_strЕО,6030,ЕО,300000002471,Ежесменное ТО смена 1,,6030_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №43,1-2000_strЕО,6030,ЕО,300000002471,Ежесменное ТО смена 2,,6030_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №44,1-2000_strЕО,6031,ЕО,300000002472,Ежесменное ТО смена 1,,6031_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №44,1-2000_strЕО,6031,ЕО,300000002472,Ежесменное ТО смена 2,,6031_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №45,1-2000_strЕО,6032,ЕО,300000002473,Ежесменное ТО смена 1,,6032_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №45,1-2000_strЕО,6032,ЕО,300000002473,Ежесменное ТО смена 2,,6032_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №46,1-2000_strЕО,6033,ЕО,300000002474,Ежесменное ТО смена 1,,6033_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №46,1-2000_strЕО,6033,ЕО,300000002474,Ежесменное ТО смена 2,,6033_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №47,1-2000_strЕО,6034,ЕО,300000002475,Ежесменное ТО смена 1,,6034_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №47,1-2000_strЕО,6034,ЕО,300000002475,Ежесменное ТО смена 2,,6034_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D275A-5,Бульдозер D275A-5 №32,1-2000_strЕО,5815,ЕО,300000002476,Ежесменное ТО смена 1,,5815_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D275A-5,Бульдозер D275A-5 №32,1-2000_strЕО,5815,ЕО,300000002476,Ежесменное ТО смена 2,,5815_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D155A-5,Бульдозер D155A-5 №48,1-2000_strЕО,5950,ЕО,300000002477,Ежесменное ТО смена 1,,5950_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D155A-5,Бульдозер D155A-5 №48,1-2000_strЕО,5950,ЕО,300000002477,Ежесменное ТО смена 2,,5950_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D155A-5,Бульдозер D155A-5 №49,1-2000_strЕО,5951,ЕО,300000002478,Ежесменное ТО смена 1,,5951_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D155A-5,Бульдозер D155A-5 №49,1-2000_strЕО,5951,ЕО,300000002478,Ежесменное ТО смена 2,,5951_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер Т-11,Бульдозер Т-11.02ЯБР-1 №15,1-2000_strЕО,5974,ЕО,300000002486,Ежесменное ТО смена 1,,5974_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер Т-11,Бульдозер Т-11.02ЯБР-1 №15,1-2000_strЕО,5974,ЕО,300000002486,Ежесменное ТО смена 2,,5974_strЕО,,
Олимпиадинский ГОК,Экскаваторы гидравлические,Экскаватор гидравл. ЕК 270LC,Экскаватор гидравл. ЕК 270LC №17,1-2000_strЕО,5857,ЕО,300000002487,Ежесменное ТО смена 1,,5857_strЕО,,
Олимпиадинский ГОК,Экскаваторы гидравлические,Экскаватор гидравл. ЕК 270LC,Экскаватор гидравл. ЕК 270LC №17,1-2000_strЕО,5857,ЕО,300000002487,Ежесменное ТО смена 2,,5857_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA900-3,Погрузчик фронтальный WA900-3 №28,1-2000_strЕО,5850,ЕО,300000002488,Ежесменное ТО смена 1,,5850_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA900-3,Погрузчик фронтальный WA900-3 №28,1-2000_strЕО,5850,ЕО,300000002488,Ежесменное ТО смена 2,,5850_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA800-3,Погрузчик фронтальный WA800-3 №30,1-2000_strЕО,5849,ЕО,300000002489,Ежесменное ТО смена 1,,5849_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA800-3,Погрузчик фронтальный WA800-3 №30,1-2000_strЕО,5849,ЕО,300000002489,Ежесменное ТО смена 2,,5849_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA600-3,Погрузчик фронтальный WA600-3 №39,1-2000_strЕО,6021,ЕО,300000002491,Ежесменное ТО смена 1,,6021_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA600-3,Погрузчик фронтальный WA600-3 №39,1-2000_strЕО,6021,ЕО,300000002491,Ежесменное ТО смена 2,,6021_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA600-3,Погрузчик фронтальный WA600-3 №40,1-2000_strЕО,6022,ЕО,300000002492,Ежесменное ТО смена 1,,6022_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA600-3,Погрузчик фронтальный WA600-3 №40,1-2000_strЕО,6022,ЕО,300000002492,Ежесменное ТО смена 2,,6022_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчик фронтальный WA500-3 №26,1-2000_strЕО,5963,ЕО,300000002493,Ежесменное ТО смена 1,,5963_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчик фронтальный WA500-3 №26,1-2000_strЕО,5963,ЕО,300000002493,Ежесменное ТО смена 2,,5963_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчик фронтальный WA500-3 №50,1-2000_strЕО,5964,ЕО,300000002494,Ежесменное ТО смена 1,,5964_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчик фронтальный WA500-3 №50,1-2000_strЕО,5964,ЕО,300000002494,Ежесменное ТО смена 2,,5964_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчик фронтальный WA500-3 №51,1-2000_strЕО,5706,ЕО,300000002495,Ежесменное ТО смена 1,,5706_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчик фронтальный WA500-3 №51,1-2000_strЕО,5706,ЕО,300000002495,Ежесменное ТО смена 2,,5706_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчик фронтальный WA500-3 №52,1-2000_strЕО,5707,ЕО,300000002496,Ежесменное ТО смена 1,,5707_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчик фронтальный WA500-3 №52,1-2000_strЕО,5707,ЕО,300000002496,Ежесменное ТО смена 2,,5707_strЕО,,
Олимпиадинский ГОК,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Экскаватор гидравл. PC400-7 №12,1-2000_strЕО,5959,ЕО,300000002497,Ежесменное ТО смена 1,,5959_strЕО,,
Олимпиадинский ГОК,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Экскаватор гидравл. PC400-7 №12,1-2000_strЕО,5959,ЕО,300000002497,Ежесменное ТО смена 2,,5959_strЕО,,
Олимпиадинский ГОК,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Экскаватор гидравл. PC400-7 №13,1-2000_strЕО,6116,ЕО,300000002498,Ежесменное ТО смена 1,,6116_strЕО,,
Олимпиадинский ГОК,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Экскаватор гидравл. PC400-7 №13,1-2000_strЕО,6116,ЕО,300000002498,Ежесменное ТО смена 2,,6116_strЕО,,
Олимпиадинский ГОК,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Экскаватор гидравл. PC400-7 №14,1-2000_strЕО,6117,ЕО,300000002499,Ежесменное ТО смена 1,,6117_strЕО,,
Олимпиадинский ГОК,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Экскаватор гидравл. PC400-7 №14,1-2000_strЕО,6117,ЕО,300000002499,Ежесменное ТО смена 2,,6117_strЕО,,
Олимпиадинский ГОК,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Экскаватор гидравл. PC400-7 №15,1-2000_strЕО,6118,ЕО,300000002500,Ежесменное ТО смена 1,,6118_strЕО,,
Олимпиадинский ГОК,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Экскаватор гидравл. PC400-7 №15,1-2000_strЕО,6118,ЕО,300000002500,Ежесменное ТО смена 2,,6118_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчик фронтальный WA500-3 №37,1-2000_strЕО,5708,ЕО,300000002501,Ежесменное ТО смена 1,,5708_strЕО,,
Олимпиадинский ГОК,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчик фронтальный WA500-3 №37,1-2000_strЕО,5708,ЕО,300000002501,Ежесменное ТО смена 2,,5708_strЕО,,
Олимпиадинский ГОК,Экскаваторы гидравлические,Экскаватор гидравл. ЕК 270LC,Экскаватор гидравл. ЕК 270LC №601,1-2000_strЕО,5859,ЕО,300000002504,Ежесменное ТО смена 1,,5859_strЕО,,
Олимпиадинский ГОК,Экскаваторы гидравлические,Экскаватор гидравл. ЕК 270LC,Экскаватор гидравл. ЕК 270LC №601,1-2000_strЕО,5859,ЕО,300000002504,Ежесменное ТО смена 2,,5859_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №201,1-2000_strЕО,6023,ЕО,300000002505,Ежесменное ТО смена 1,,6023_strЕО,,
Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №201,1-2000_strЕО,6023,ЕО,300000002505,Ежесменное ТО смена 2,,6023_strЕО,,
